order_id,ratings,complaint_type
59,4,
59,3,unsatisfied with food taste
59,3,unsatisfied with food taste
60,3,unsatisfied with food taste
60,2,Slow service
61,3,unsatisfied with food taste
61,4,
62,1,Slow service
62,2,Slow service
63,4,
64,3,unsatisfied with food taste
65,4,
65,5,
65,1,Slow service
65,4,
66,2,Slow service
66,3,unsatisfied with food taste
67,4,
68,3,unsatisfied with food taste
68,2,Slow service
68,2,Slow service
69,4,
70,2,Slow service
70,3,unsatisfied with food taste
71,3,unsatisfied with food taste
72,3,unsatisfied with food taste
73,3,unsatisfied with food taste
74,2,Slow service
74,3,unsatisfied with food taste
74,4,
74,4,
75,2,Slow service
75,4,
75,1,Slow service
76,1,Slow service
76,4,
76,2,Slow service
76,4,
77,4,
77,2,Slow service
78,4,
78,1,Slow service
78,4,
78,3,unsatisfied with food taste
78,4,
78,3,unsatisfied with food taste
79,2,Slow service
79,4,
79,1,Slow service
80,1,Slow service
80,3,unsatisfied with food taste
81,1,Slow service
82,3,unsatisfied with food taste
82,3,unsatisfied with food taste
82,2,Slow service
82,4,
83,3,unsatisfied with food taste
84,3,unsatisfied with food taste
85,1,Slow service
85,3,unsatisfied with food taste
85,3,unsatisfied with food taste
85,3,unsatisfied with food taste
86,1,Slow service
87,1,Slow service
87,2,Slow service
87,4,
87,4,
88,3,unsatisfied with food taste
89,4,
89,4,
90,3,unsatisfied with food taste
90,3,unsatisfied with food taste
91,4,
91,4,
91,2,Slow service
92,4,
92,4,
92,1,Slow service
92,2,Slow service
92,1,Slow service
92,4,
92,3,unsatisfied with food taste
92,1,Slow service
92,3,unsatisfied with food taste
93,2,Slow service
94,4,
94,4,
95,4,
95,1,Slow service
96,2,Slow service
97,1,Slow service
98,4,
98,4,
99,1,Slow service
100,3,unsatisfied with food taste
101,3,unsatisfied with food taste
101,3,unsatisfied with food taste
101,4,
101,2,Slow service
102,4,
102,3,unsatisfied with food taste
103,3,unsatisfied with food taste
104,3,unsatisfied with food taste
104,4,
104,1,Slow service
104,2,Slow service
105,3,unsatisfied with food taste
105,4,
105,4,
106,1,Slow service
106,4,
107,3,unsatisfied with food taste
107,5,
107,3,unsatisfied with food taste
107,3,unsatisfied with food taste
108,3,unsatisfied with food taste
108,3,unsatisfied with food taste
108,3,unsatisfied with food taste
109,4,
109,1,Slow service
109,3,unsatisfied with food taste
109,2,Slow service
110,4,
110,1,Slow service
110,3,unsatisfied with food taste
110,3,unsatisfied with food taste
111,4,
111,4,
111,4,
111,3,unsatisfied with food taste
112,3,unsatisfied with food taste
113,2,Slow service
113,4,
113,4,
114,4,
114,4,
115,4,
115,4,
115,1,Slow service
116,4,
117,1,Slow service
117,4,
118,3,unsatisfied with food taste
118,3,unsatisfied with food taste
119,3,unsatisfied with food taste
120,1,Slow service
120,4,
120,2,Slow service
121,5,
121,4,
121,4,
121,4,
122,4,
123,2,Slow service
124,2,Slow service
124,4,
124,2,Slow service
124,1,Slow service
125,4,
126,2,Slow service
127,4,
128,1,Slow service
129,4,
129,4,
130,3,unsatisfied with food taste
130,3,unsatisfied with food taste
130,2,Slow service
130,3,unsatisfied with food taste
131,4,
131,1,Slow service
131,3,unsatisfied with food taste
131,3,unsatisfied with food taste
132,2,Slow service
133,3,unsatisfied with food taste
133,4,
133,4,
134,3,unsatisfied with food taste
134,4,
134,4,
135,1,Slow service
136,2,Slow service
136,1,Slow service
137,3,unsatisfied with food taste
137,3,unsatisfied with food taste
137,4,
138,1,Slow service
138,3,unsatisfied with food taste
138,1,Slow service
138,4,
139,4,
140,3,unsatisfied with food taste
140,3,unsatisfied with food taste
141,4,
142,5,
143,4,
143,1,Slow service
143,1,Slow service
143,3,unsatisfied with food taste
143,4,
143,1,Slow service
143,4,
143,2,Slow service
144,2,Slow service
144,1,Slow service
144,4,
144,1,Slow service
144,3,unsatisfied with food taste
144,3,unsatisfied with food taste
144,4,
144,3,unsatisfied with food taste
144,3,unsatisfied with food taste
144,1,Slow service
144,3,unsatisfied with food taste
144,3,unsatisfied with food taste
145,3,unsatisfied with food taste
146,3,unsatisfied with food taste
146,1,Slow service
146,4,
147,3,unsatisfied with food taste
148,4,
149,1,Slow service
150,2,Slow service
151,4,
151,3,unsatisfied with food taste
152,2,Slow service
152,4,
152,4,
152,4,
153,1,Slow service
154,1,Slow service
155,4,
155,2,Slow service
155,2,Slow service
155,1,Slow service
156,4,
156,3,unsatisfied with food taste
157,3,unsatisfied with food taste
157,2,Slow service
157,4,
157,4,
158,4,
158,3,unsatisfied with food taste
159,3,unsatisfied with food taste
159,1,Slow service
160,1,Slow service
161,2,Slow service
161,4,
161,2,Slow service
162,1,Slow service
163,4,
163,3,unsatisfied with food taste
163,1,Slow service
164,4,
164,5,
165,3,unsatisfied with food taste
166,4,
167,4,
167,4,
167,2,Slow service
168,1,Slow service
168,3,unsatisfied with food taste
169,4,
169,4,
169,3,unsatisfied with food taste
170,5,
171,3,unsatisfied with food taste
172,2,Slow service
172,1,Slow service
172,4,
173,3,unsatisfied with food taste
173,3,unsatisfied with food taste
173,1,Slow service
174,3,unsatisfied with food taste
174,4,
174,3,unsatisfied with food taste
174,3,unsatisfied with food taste
175,3,unsatisfied with food taste
176,4,
176,4,
177,4,
177,4,
178,3,unsatisfied with food taste
179,2,Slow service
179,2,Slow service
179,4,
180,5,
180,1,Slow service
181,4,
182,4,
182,4,
183,4,
183,2,Slow service
183,3,unsatisfied with food taste
184,1,Slow service
185,1,Slow service
185,1,Slow service
186,2,Slow service
186,2,Slow service
186,4,
186,1,Slow service
187,2,Slow service
187,3,unsatisfied with food taste
188,3,unsatisfied with food taste
188,5,
188,3,unsatisfied with food taste
189,3,unsatisfied with food taste
189,1,Slow service
190,1,Slow service
190,3,unsatisfied with food taste
190,1,Slow service
190,1,Slow service
191,3,unsatisfied with food taste
191,3,unsatisfied with food taste
192,2,Slow service
192,1,Slow service
193,4,
193,4,
193,4,
194,3,unsatisfied with food taste
195,3,unsatisfied with food taste
196,3,unsatisfied with food taste
196,3,unsatisfied with food taste
196,3,unsatisfied with food taste
197,3,unsatisfied with food taste
197,2,Slow service
197,3,unsatisfied with food taste
197,4,
198,4,
198,1,Slow service
199,4,
200,1,Slow service
201,2,Slow service
201,2,Slow service
201,4,
201,5,
202,3,unsatisfied with food taste
203,4,
203,3,unsatisfied with food taste
203,3,unsatisfied with food taste
203,1,Slow service
204,1,Slow service
205,1,Slow service
205,1,Slow service
205,4,
206,3,unsatisfied with food taste
206,1,Slow service
206,3,unsatisfied with food taste
207,3,unsatisfied with food taste
208,4,
208,3,unsatisfied with food taste
208,4,
208,3,unsatisfied with food taste
208,4,
209,2,Slow service
210,4,
211,4,
212,3,unsatisfied with food taste
213,2,Slow service
214,4,
214,3,unsatisfied with food taste
214,2,Slow service
214,3,unsatisfied with food taste
215,4,
216,5,
216,3,unsatisfied with food taste
216,1,Slow service
217,4,
217,3,unsatisfied with food taste
218,1,Slow service
219,2,Slow service
219,4,
219,4,
219,4,
220,3,unsatisfied with food taste
220,3,unsatisfied with food taste
220,3,unsatisfied with food taste
220,4,
221,2,Slow service
221,3,unsatisfied with food taste
221,3,unsatisfied with food taste
222,3,unsatisfied with food taste
222,1,Slow service
223,2,Slow service
224,4,
224,4,
224,2,Slow service
224,3,unsatisfied with food taste
225,1,Slow service
225,3,unsatisfied with food taste
225,4,
226,4,
227,2,Slow service
227,3,unsatisfied with food taste
228,3,unsatisfied with food taste
229,3,unsatisfied with food taste
229,3,unsatisfied with food taste
229,4,
230,3,unsatisfied with food taste
231,4,
231,3,unsatisfied with food taste
231,4,
232,4,
232,3,unsatisfied with food taste
233,4,
234,4,
234,3,unsatisfied with food taste
234,2,Slow service
235,3,unsatisfied with food taste
236,3,unsatisfied with food taste
236,1,Slow service
237,3,unsatisfied with food taste
238,2,Slow service
239,3,unsatisfied with food taste
239,3,unsatisfied with food taste
240,2,Slow service
241,4,
241,3,unsatisfied with food taste
242,4,
242,3,unsatisfied with food taste
242,3,unsatisfied with food taste
243,1,Slow service
243,3,unsatisfied with food taste
244,4,
244,4,
245,1,Slow service
245,1,Slow service
246,4,
246,4,
247,2,Slow service
247,3,unsatisfied with food taste
247,4,
248,3,unsatisfied with food taste
248,4,
249,4,
249,4,
250,4,
251,4,
252,4,
253,2,Slow service
254,4,
254,5,
254,3,unsatisfied with food taste
255,1,Slow service
255,3,unsatisfied with food taste
255,4,
255,4,
256,3,unsatisfied with food taste
257,5,
257,4,
258,4,
259,4,
260,2,Slow service
260,2,Slow service
261,4,
262,4,
263,5,
264,1,Slow service
265,1,Slow service
265,3,unsatisfied with food taste
265,3,unsatisfied with food taste
265,2,Slow service
266,4,
267,2,Slow service
267,2,Slow service
267,1,Slow service
268,3,unsatisfied with food taste
268,2,Slow service
269,1,Slow service
270,1,Slow service
270,4,
270,3,unsatisfied with food taste
271,4,
271,4,
271,4,
271,2,Slow service
271,4,
271,4,
271,4,
271,4,
271,3,unsatisfied with food taste
271,3,unsatisfied with food taste
272,3,unsatisfied with food taste
273,4,
274,4,
274,3,unsatisfied with food taste
275,4,
275,3,unsatisfied with food taste
275,4,
275,4,
276,4,
276,1,Slow service
277,2,Slow service
278,3,unsatisfied with food taste
278,4,
279,4,
279,2,Slow service
280,3,unsatisfied with food taste
280,1,Slow service
281,4,
282,4,
282,3,unsatisfied with food taste
282,4,
282,3,unsatisfied with food taste
283,4,
284,3,unsatisfied with food taste
284,2,Slow service
284,3,unsatisfied with food taste
285,2,Slow service
286,2,Slow service
286,3,unsatisfied with food taste
287,3,unsatisfied with food taste
287,2,Slow service
287,4,
287,1,Slow service
288,4,
288,4,
288,2,Slow service
289,4,
290,4,
290,4,
291,4,
291,1,Slow service
291,3,unsatisfied with food taste
292,3,unsatisfied with food taste
292,3,unsatisfied with food taste
293,3,unsatisfied with food taste
293,4,
294,1,Slow service
294,2,Slow service
294,4,
295,4,
296,3,unsatisfied with food taste
296,4,
296,3,unsatisfied with food taste
297,4,
298,2,Slow service
298,2,Slow service
298,4,
298,2,Slow service
299,3,unsatisfied with food taste
299,4,
300,2,Slow service
300,4,
300,4,
300,3,unsatisfied with food taste
301,4,
302,1,Slow service
303,4,
303,3,unsatisfied with food taste
303,1,Slow service
304,3,unsatisfied with food taste
304,3,unsatisfied with food taste
305,4,
305,4,
305,2,Slow service
306,4,
306,1,Slow service
306,3,unsatisfied with food taste
307,2,Slow service
307,4,
308,2,Slow service
308,3,unsatisfied with food taste
308,2,Slow service
309,3,unsatisfied with food taste
309,2,Slow service
310,1,Slow service
310,2,Slow service
311,2,Slow service
312,4,
312,3,unsatisfied with food taste
312,1,Slow service
312,1,Slow service
313,2,Slow service
314,4,
314,4,
314,2,Slow service
314,4,
314,1,Slow service
315,3,unsatisfied with food taste
316,3,unsatisfied with food taste
316,2,Slow service
317,4,
317,4,
317,4,
317,2,Slow service
317,1,Slow service
317,1,Slow service
317,3,unsatisfied with food taste
318,3,unsatisfied with food taste
318,2,Slow service
318,1,Slow service
318,3,unsatisfied with food taste
319,2,Slow service
320,1,Slow service
320,4,
321,4,
322,3,unsatisfied with food taste
322,4,
322,4,
322,1,Slow service
323,3,unsatisfied with food taste
324,3,unsatisfied with food taste
325,2,Slow service
325,1,Slow service
326,2,Slow service
326,4,
327,3,unsatisfied with food taste
328,4,
329,1,Slow service
329,1,Slow service
330,4,
330,1,Slow service
330,2,Slow service
330,3,unsatisfied with food taste
330,5,
330,4,
330,4,
330,2,Slow service
330,3,unsatisfied with food taste
330,3,unsatisfied with food taste
330,2,Slow service
330,3,unsatisfied with food taste
330,4,
330,1,Slow service
331,3,unsatisfied with food taste
332,4,
332,4,
332,1,Slow service
333,3,unsatisfied with food taste
334,4,
334,2,Slow service
334,4,
334,3,unsatisfied with food taste
335,4,
336,3,unsatisfied with food taste
337,1,Slow service
337,3,unsatisfied with food taste
338,4,
338,1,Slow service
338,4,
339,5,
340,2,Slow service
341,1,Slow service
341,2,Slow service
342,1,Slow service
342,3,unsatisfied with food taste
343,4,
343,2,Slow service
344,1,Slow service
345,3,unsatisfied with food taste
345,1,Slow service
346,4,
346,1,Slow service
346,3,unsatisfied with food taste
346,3,unsatisfied with food taste
347,3,unsatisfied with food taste
347,4,
347,3,unsatisfied with food taste
348,2,Slow service
348,1,Slow service
348,3,unsatisfied with food taste
349,4,
350,3,unsatisfied with food taste
350,3,unsatisfied with food taste
350,3,unsatisfied with food taste
351,1,Slow service
351,3,unsatisfied with food taste
352,1,Slow service
352,4,
353,1,Slow service
353,4,
353,1,Slow service
354,3,unsatisfied with food taste
354,2,Slow service
355,4,
355,2,Slow service
356,4,
357,4,
357,4,
357,1,Slow service
358,3,unsatisfied with food taste
359,3,unsatisfied with food taste
359,3,unsatisfied with food taste
360,4,
360,4,
360,4,
361,4,
361,4,
362,3,unsatisfied with food taste
362,2,Slow service
363,4,
363,4,
364,2,Slow service
364,2,Slow service
365,2,Slow service
365,2,Slow service
365,4,
366,4,
367,3,unsatisfied with food taste
367,3,unsatisfied with food taste
368,4,
368,1,Slow service
369,2,Slow service
370,4,
370,4,
371,3,unsatisfied with food taste
372,4,
373,5,
373,4,
373,4,
374,4,
374,4,
374,4,
375,3,unsatisfied with food taste
376,4,
376,3,unsatisfied with food taste
377,4,
377,4,
378,2,Slow service
379,3,unsatisfied with food taste
380,1,Slow service
380,3,unsatisfied with food taste
381,3,unsatisfied with food taste
382,3,unsatisfied with food taste
382,4,
383,4,
384,3,unsatisfied with food taste
384,4,
384,4,
384,3,unsatisfied with food taste
385,3,unsatisfied with food taste
386,3,unsatisfied with food taste
386,1,Slow service
386,2,Slow service
387,3,unsatisfied with food taste
387,1,Slow service
387,2,Slow service
387,3,unsatisfied with food taste
387,1,Slow service
387,3,unsatisfied with food taste
387,2,Slow service
388,2,Slow service
388,1,Slow service
388,4,
388,4,
389,4,
390,4,
391,4,
392,4,
392,1,Slow service
392,3,unsatisfied with food taste
392,2,Slow service
392,4,
392,3,unsatisfied with food taste
392,1,Slow service
392,3,unsatisfied with food taste
393,4,
393,4,
394,4,
394,4,
394,3,unsatisfied with food taste
394,4,
394,3,unsatisfied with food taste
394,2,Slow service
394,3,unsatisfied with food taste
394,4,
394,2,Slow service
394,3,unsatisfied with food taste
394,1,Slow service
394,3,unsatisfied with food taste
395,4,
396,4,
397,4,
397,2,Slow service
397,3,unsatisfied with food taste
398,4,
399,4,
399,2,Slow service
399,3,unsatisfied with food taste
399,4,
400,3,unsatisfied with food taste
400,2,Slow service
401,4,
402,1,Slow service
402,4,
403,3,unsatisfied with food taste
403,4,
403,4,
404,2,Slow service
405,4,
406,1,Slow service
406,4,
406,4,
407,4,
407,5,
407,1,Slow service
408,1,Slow service
408,1,Slow service
409,3,unsatisfied with food taste
410,3,unsatisfied with food taste
410,4,
410,1,Slow service
411,2,Slow service
411,4,
412,3,unsatisfied with food taste
412,4,
413,4,
414,3,unsatisfied with food taste
414,5,
414,1,Slow service
415,3,unsatisfied with food taste
416,3,unsatisfied with food taste
417,4,
418,2,Slow service
418,3,unsatisfied with food taste
419,4,
419,1,Slow service
419,3,unsatisfied with food taste
419,1,Slow service
420,4,
420,3,unsatisfied with food taste
421,3,unsatisfied with food taste
421,4,
421,3,unsatisfied with food taste
422,3,unsatisfied with food taste
422,3,unsatisfied with food taste
422,3,unsatisfied with food taste
423,4,
423,4,
424,3,unsatisfied with food taste
425,1,Slow service
426,2,Slow service
426,4,
426,4,
427,2,Slow service
428,4,
428,3,unsatisfied with food taste
429,1,Slow service
430,3,unsatisfied with food taste
430,4,
431,3,unsatisfied with food taste
431,1,Slow service
431,1,Slow service
431,3,unsatisfied with food taste
432,3,unsatisfied with food taste
432,4,
432,4,
433,1,Slow service
434,3,unsatisfied with food taste
434,4,
434,4,
435,1,Slow service
435,4,
435,3,unsatisfied with food taste
436,4,
436,1,Slow service
436,3,unsatisfied with food taste
436,3,unsatisfied with food taste
437,4,
438,4,
439,4,
439,4,
439,1,Slow service
440,3,unsatisfied with food taste
440,2,Slow service
440,4,
440,1,Slow service
440,3,unsatisfied with food taste
440,2,Slow service
440,4,
440,3,unsatisfied with food taste
440,2,Slow service
440,1,Slow service
440,1,Slow service
440,3,unsatisfied with food taste
440,4,
440,1,Slow service
441,3,unsatisfied with food taste
441,1,Slow service
442,3,unsatisfied with food taste
443,4,
443,4,
443,4,
443,2,Slow service
443,4,
443,3,unsatisfied with food taste
443,3,unsatisfied with food taste
443,4,
443,1,Slow service
443,4,
443,3,unsatisfied with food taste
443,2,Slow service
443,4,
443,1,Slow service
444,4,
445,4,
446,4,
446,2,Slow service
446,2,Slow service
447,3,unsatisfied with food taste
448,1,Slow service
448,4,
448,1,Slow service
449,1,Slow service
450,4,
451,2,Slow service
451,4,
451,4,
452,3,unsatisfied with food taste
452,3,unsatisfied with food taste
452,2,Slow service
453,2,Slow service
453,2,Slow service
453,2,Slow service
453,4,
454,2,Slow service
455,3,unsatisfied with food taste
456,1,Slow service
457,3,unsatisfied with food taste
457,2,Slow service
457,2,Slow service
458,3,unsatisfied with food taste
458,4,
458,4,
459,3,unsatisfied with food taste
460,1,Slow service
460,3,unsatisfied with food taste
461,3,unsatisfied with food taste
461,4,
462,4,
463,4,
463,1,Slow service
464,4,
464,4,
465,4,
466,4,
466,3,unsatisfied with food taste
467,2,Slow service
468,4,
468,3,unsatisfied with food taste
469,4,
469,4,
470,4,
471,3,unsatisfied with food taste
472,3,unsatisfied with food taste
472,4,
473,2,Slow service
473,4,
473,1,Slow service
474,2,Slow service
474,4,
475,4,
475,3,unsatisfied with food taste
476,3,unsatisfied with food taste
476,3,unsatisfied with food taste
476,4,
477,4,
477,2,Slow service
478,3,unsatisfied with food taste
478,2,Slow service
479,4,
479,3,unsatisfied with food taste
480,4,
481,1,Slow service
481,3,unsatisfied with food taste
482,3,unsatisfied with food taste
482,4,
482,3,unsatisfied with food taste
483,3,unsatisfied with food taste
483,3,unsatisfied with food taste
483,5,
483,2,Slow service
484,4,
484,1,Slow service
485,4,
486,1,Slow service
487,2,Slow service
487,4,
487,2,Slow service
488,4,
489,1,Slow service
490,4,
490,4,
490,4,
491,4,
491,3,unsatisfied with food taste
491,3,unsatisfied with food taste
491,4,
492,5,
492,2,Slow service
492,4,
493,3,unsatisfied with food taste
494,4,
494,4,
494,4,
494,3,unsatisfied with food taste
495,2,Slow service
495,4,
496,4,
496,4,
497,5,
498,3,unsatisfied with food taste
499,3,unsatisfied with food taste
499,4,
499,4,
499,5,
500,4,
501,3,unsatisfied with food taste
501,4,
501,4,
502,3,unsatisfied with food taste
503,3,unsatisfied with food taste
503,4,
504,2,Slow service
505,1,Slow service
505,4,
506,2,Slow service
507,4,
508,1,Slow service
508,4,
508,3,unsatisfied with food taste
509,3,unsatisfied with food taste
510,2,Slow service
510,3,unsatisfied with food taste
510,4,
510,1,Slow service
511,2,Slow service
512,4,
513,2,Slow service
513,4,
513,4,
513,2,Slow service
514,5,
515,4,
515,1,Slow service
516,1,Slow service
516,4,
517,4,
518,4,
518,1,Slow service
518,4,
519,1,Slow service
520,2,Slow service
521,5,
522,3,unsatisfied with food taste
522,4,
522,4,
522,4,
522,3,unsatisfied with food taste
522,3,unsatisfied with food taste
522,2,Slow service
522,2,Slow service
522,4,
522,3,unsatisfied with food taste
522,4,
523,3,unsatisfied with food taste
524,2,Slow service
524,2,Slow service
525,2,Slow service
526,3,unsatisfied with food taste
526,4,
527,2,Slow service
527,3,unsatisfied with food taste
528,3,unsatisfied with food taste
529,3,unsatisfied with food taste
529,4,
529,3,unsatisfied with food taste
530,3,unsatisfied with food taste
530,1,Slow service
531,4,
532,3,unsatisfied with food taste
532,2,Slow service
533,4,
533,3,unsatisfied with food taste
533,1,Slow service
534,3,unsatisfied with food taste
534,5,
535,1,Slow service
536,3,unsatisfied with food taste
536,2,Slow service
537,3,unsatisfied with food taste
537,4,
537,4,
538,3,unsatisfied with food taste
539,3,unsatisfied with food taste
539,2,Slow service
539,4,
540,4,
541,3,unsatisfied with food taste
542,2,Slow service
542,4,
543,3,unsatisfied with food taste
543,4,
543,1,Slow service
544,3,unsatisfied with food taste
544,3,unsatisfied with food taste
545,4,
545,1,Slow service
545,4,
545,4,
546,2,Slow service
547,3,unsatisfied with food taste
548,3,unsatisfied with food taste
549,4,
549,4,
550,3,unsatisfied with food taste
550,2,Slow service
551,2,Slow service
551,3,unsatisfied with food taste
551,3,unsatisfied with food taste
551,2,Slow service
552,4,
552,2,Slow service
552,3,unsatisfied with food taste
553,4,
554,3,unsatisfied with food taste
554,3,unsatisfied with food taste
555,1,Slow service
555,3,unsatisfied with food taste
556,2,Slow service
556,5,
557,4,
557,2,Slow service
558,3,unsatisfied with food taste
559,4,
560,3,unsatisfied with food taste
560,3,unsatisfied with food taste
561,1,Slow service
562,1,Slow service
563,2,Slow service
563,4,
564,4,
564,5,
564,2,Slow service
565,4,
566,1,Slow service
567,4,
567,4,
567,3,unsatisfied with food taste
567,4,
567,1,Slow service
567,4,
567,4,
567,1,Slow service
567,1,Slow service
567,4,
568,4,
569,2,Slow service
569,3,unsatisfied with food taste
569,4,
570,5,
570,3,unsatisfied with food taste
571,3,unsatisfied with food taste
572,4,
573,4,
573,3,unsatisfied with food taste
574,1,Slow service
575,4,
575,4,
575,1,Slow service
575,4,
576,4,
576,3,unsatisfied with food taste
576,2,Slow service
577,4,
577,2,Slow service
578,4,
578,1,Slow service
578,2,Slow service
578,2,Slow service
578,3,unsatisfied with food taste
579,3,unsatisfied with food taste
580,3,unsatisfied with food taste
580,1,Slow service
581,3,unsatisfied with food taste
582,4,
583,3,unsatisfied with food taste
584,4,
584,3,unsatisfied with food taste
585,1,Slow service
585,4,
586,4,
586,3,unsatisfied with food taste
587,3,unsatisfied with food taste
587,2,Slow service
588,4,
589,2,Slow service
589,4,
589,1,Slow service
590,2,Slow service
591,3,unsatisfied with food taste
591,2,Slow service
591,4,
592,3,unsatisfied with food taste
592,4,
592,2,Slow service
593,4,
593,1,Slow service
594,3,unsatisfied with food taste
595,4,
595,3,unsatisfied with food taste
596,2,Slow service
596,2,Slow service
597,3,unsatisfied with food taste
597,2,Slow service
597,4,
598,4,
599,3,unsatisfied with food taste
600,4,
600,2,Slow service
600,4,
600,4,
601,4,
601,4,
601,1,Slow service
602,2,Slow service
603,1,Slow service
604,4,
604,1,Slow service
605,2,Slow service
605,1,Slow service
606,3,unsatisfied with food taste
607,3,unsatisfied with food taste
607,1,Slow service
607,2,Slow service
608,3,unsatisfied with food taste
608,3,unsatisfied with food taste
608,3,unsatisfied with food taste
608,3,unsatisfied with food taste
609,3,unsatisfied with food taste
610,4,
610,3,unsatisfied with food taste
611,4,
611,3,unsatisfied with food taste
611,3,unsatisfied with food taste
611,4,
612,2,Slow service
612,4,
612,3,unsatisfied with food taste
612,4,
613,4,
614,4,
615,3,unsatisfied with food taste
615,3,unsatisfied with food taste
616,3,unsatisfied with food taste
616,2,Slow service
617,2,Slow service
617,3,unsatisfied with food taste
618,3,unsatisfied with food taste
618,4,
619,4,
620,1,Slow service
620,3,unsatisfied with food taste
620,2,Slow service
620,1,Slow service
621,4,
621,3,unsatisfied with food taste
621,3,unsatisfied with food taste
621,2,Slow service
622,4,
622,4,
623,1,Slow service
623,3,unsatisfied with food taste
624,3,unsatisfied with food taste
624,4,
625,1,Slow service
625,3,unsatisfied with food taste
626,4,
626,4,
627,3,unsatisfied with food taste
627,1,Slow service
628,5,
628,1,Slow service
628,4,
628,3,unsatisfied with food taste
629,1,Slow service
629,3,unsatisfied with food taste
629,1,Slow service
629,4,
630,4,
631,3,unsatisfied with food taste
632,4,
633,4,
633,3,unsatisfied with food taste
633,3,unsatisfied with food taste
634,2,Slow service
635,4,
635,1,Slow service
635,4,
635,3,unsatisfied with food taste
635,5,
635,3,unsatisfied with food taste
635,4,
635,2,Slow service
635,2,Slow service
635,2,Slow service
636,5,
637,2,Slow service
637,3,unsatisfied with food taste
638,3,unsatisfied with food taste
639,3,unsatisfied with food taste
640,4,
640,3,unsatisfied with food taste
640,4,
641,4,
641,1,Slow service
641,3,unsatisfied with food taste
641,4,
642,4,
642,3,unsatisfied with food taste
642,2,Slow service
642,4,
643,2,Slow service
644,3,unsatisfied with food taste
644,2,Slow service
645,2,Slow service
645,3,unsatisfied with food taste
646,3,unsatisfied with food taste
646,3,unsatisfied with food taste
647,1,Slow service
648,2,Slow service
648,3,unsatisfied with food taste
649,3,unsatisfied with food taste
649,3,unsatisfied with food taste
649,5,
649,4,
650,1,Slow service
651,2,Slow service
651,3,unsatisfied with food taste
651,3,unsatisfied with food taste
652,4,
652,2,Slow service
652,5,
652,1,Slow service
653,3,unsatisfied with food taste
654,4,
654,3,unsatisfied with food taste
654,3,unsatisfied with food taste
655,3,unsatisfied with food taste
656,3,unsatisfied with food taste
656,2,Slow service
657,4,
657,4,
658,4,
658,4,
658,3,unsatisfied with food taste
659,2,Slow service
659,3,unsatisfied with food taste
660,4,
660,5,
661,4,
662,4,
662,3,unsatisfied with food taste
663,2,Slow service
664,3,unsatisfied with food taste
664,1,Slow service
664,3,unsatisfied with food taste
665,4,
665,4,
666,3,unsatisfied with food taste
667,4,
667,2,Slow service
668,1,Slow service
668,1,Slow service
668,3,unsatisfied with food taste
668,2,Slow service
669,3,unsatisfied with food taste
669,4,
