order_id,order_type,prep_time,wait_time
222,In-store,9,17
223,In-store,10,18
224,In-store,7,15
224,In-store,8,15
224,In-store,10,18
224,In-store,9,14
225,Online,13,16
225,In-store,7,10
225,In-store,9,12
226,Online,11,13
227,Online,15,20
227,In-store,7,9
228,In-store,6,10
229,Online,8,13
229,In-store,7,15
229,In-store,7,14
230,In-store,5,10
231,In-store,6,14
231,In-store,8,10
231,In-store,8,11
232,In-store,7,15
232,In-store,10,12
233,Online,8,15
234,In-store,7,11
234,In-store,5,11
234,In-store,10,16
235,In-store,5,10
236,In-store,6,9
236,Online,11,16
237,In-store,6,13
238,In-store,10,17
239,In-store,5,12
239,Online,9,15
240,Online,15,22
241,In-store,5,13
241,In-store,7,11
242,In-store,5,12
242,In-store,7,12
242,In-store,8,14
243,In-store,10,17
243,In-store,7,10
244,In-store,8,13
244,In-store,9,11
245,Online,11,18
245,Online,11,17
246,In-store,9,12
246,In-store,6,11
247,In-store,9,17
247,In-store,6,13
247,In-store,9,14
248,Online,9,13
248,In-store,9,15
249,In-store,5,12
249,In-store,9,14
250,In-store,7,11
251,In-store,6,10
252,In-store,7,12
253,In-store,9,17
254,In-store,6,10
254,In-store,5,8
254,In-store,5,10
255,In-store,9,17
255,In-store,5,9
255,In-store,6,11
255,In-store,5,13
256,In-store,5,12
257,In-store,6,8
257,In-store,8,14
258,In-store,8,12
259,In-store,5,12
260,Online,10,17
260,In-store,9,17
261,In-store,6,10
262,In-store,9,14
263,In-store,5,8
264,Online,12,20
265,Online,15,20
265,In-store,7,14
265,In-store,5,9
265,Online,12,16
266,In-store,7,12
267,Online,13,17
267,Online,12,20
267,Online,14,22
268,Online,10,12
268,In-store,10,16
269,Online,11,16
270,Online,14,21
270,In-store,8,10
270,In-store,7,13
271,In-store,10,13
271,In-store,6,11
271,In-store,8,12
271,Online,12,18
271,In-store,10,12
271,In-store,6,12
271,In-store,6,10
271,In-store,7,11
271,In-store,5,10
271,In-store,6,10
272,In-store,9,12
273,Online,8,15
274,Online,10,13
274,In-store,7,14
275,In-store,8,13
275,In-store,6,14
275,Online,9,15
275,Online,8,10
276,In-store,5,10
276,In-store,9,17
277,Online,13,17
278,In-store,7,10
278,In-store,10,15
279,In-store,7,10
279,In-store,10,16
280,In-store,7,13
280,Online,14,22
281,In-store,6,10
282,In-store,6,8
282,In-store,9,11
282,Online,8,10
282,In-store,6,9
283,In-store,9,13
284,In-store,8,10
284,Online,15,18
284,In-store,10,14
285,Online,13,21
286,In-store,9,17
286,In-store,7,15
287,In-store,5,9
287,In-store,10,18
287,In-store,8,13
287,Online,14,19
288,Online,10,15
288,In-store,6,9
288,Online,14,22
289,In-store,7,9
290,Online,9,12
290,In-store,8,12
291,In-store,5,9
291,In-store,10,17
291,In-store,6,9
292,In-store,10,14
292,In-store,8,10
293,In-store,9,14
293,In-store,5,11
294,Online,12,17
294,Online,15,18
294,In-store,8,15
295,In-store,5,9
296,Online,11,13
296,In-store,6,10
296,In-store,9,13
297,In-store,7,13
298,In-store,10,16
298,Online,13,19
298,In-store,9,15
298,In-store,9,17
299,In-store,7,12
299,Online,12,14
300,Online,10,17
300,In-store,9,11
300,Online,10,12
300,Online,11,13
301,Online,11,15
302,Online,15,23
303,In-store,10,14
303,Online,10,15
303,Online,11,19
304,In-store,7,10
304,Online,8,15
305,Online,9,14
305,In-store,8,10
305,Online,9,16
306,In-store,7,15
306,Online,9,16
306,In-store,5,9
307,Online,14,20
307,In-store,10,12
308,Online,15,19
308,In-store,7,10
308,In-store,9,16
309,Online,8,10
309,Online,12,18
310,Online,15,23
310,Online,15,22
311,In-store,10,16
312,In-store,10,14
312,In-store,5,13
312,Online,14,18
312,Online,15,20
313,In-store,9,16
314,In-store,8,11
314,In-store,6,8
314,Online,11,19
314,In-store,5,13
314,Online,8,16
315,Online,8,13
316,Online,10,12
316,In-store,9,16
317,In-store,5,7
317,In-store,6,8
317,In-store,8,13
317,Online,15,23
317,In-store,9,16
317,Online,14,18
317,Online,8,15
318,In-store,9,12
318,Online,13,19
318,Online,13,18
318,In-store,10,14
319,Online,12,18
320,Online,12,16
320,In-store,7,9
321,In-store,10,12
322,In-store,6,9
322,In-store,7,14
322,In-store,6,9
322,In-store,10,17
323,In-store,9,11
324,In-store,6,13
325,Online,9,16
325,Online,15,17
326,In-store,10,17
326,Online,8,13
327,In-store,6,12
328,In-store,9,15
329,In-store,9,17
329,Online,14,17
330,Online,9,11
330,Online,13,21
330,In-store,9,17
330,In-store,7,13
330,In-store,6,8
330,In-store,8,12
330,In-store,5,8
330,Online,13,21
330,In-store,7,11
330,Online,9,13
330,Online,11,17
330,In-store,5,12
330,In-store,9,13
330,Online,14,19
331,In-store,6,14
332,Online,8,14
332,In-store,6,9
332,Online,11,18
333,In-store,6,13
334,Online,8,15
334,In-store,10,16
334,Online,13,15
334,In-store,9,12
335,In-store,7,13
336,In-store,6,13
337,Online,15,17
337,In-store,9,13
338,In-store,7,9
338,Online,8,16
338,Online,10,13
339,In-store,5,7
340,In-store,8,16
341,Online,15,21
341,In-store,10,18
342,Online,14,18
342,In-store,6,11
343,Online,9,12
343,Online,13,20
344,In-store,9,16
345,In-store,9,12
345,Online,10,16
346,In-store,7,10
346,Online,14,17
346,In-store,8,12
346,In-store,10,15
347,In-store,6,12
347,In-store,6,12
347,In-store,8,14
348,Online,9,17
348,Online,13,21
348,In-store,7,10
349,In-store,8,10
350,In-store,5,11
350,In-store,5,9
350,Online,11,15
351,In-store,10,16
351,In-store,7,13
352,Online,15,17
352,In-store,5,9
353,Online,8,16
353,In-store,5,10
353,Online,9,16
354,In-store,5,13
354,In-store,9,16
355,In-store,7,10
355,Online,11,19
356,In-store,9,15
357,In-store,7,13
357,In-store,6,8
357,Online,15,19
358,In-store,5,11
359,In-store,8,13
359,Online,13,15
360,In-store,8,10
360,In-store,9,15
360,In-store,6,13
361,In-store,7,10
361,In-store,7,14
362,In-store,7,9
362,Online,11,19
363,In-store,8,12
363,In-store,10,12
364,In-store,9,17
364,Online,13,20
365,In-store,10,17
365,In-store,10,16
365,In-store,10,14
366,Online,10,12
367,In-store,6,10
367,In-store,5,11
368,In-store,6,14
368,In-store,10,16
369,Online,10,17
370,In-store,6,9
370,Online,11,13
371,Online,8,14
372,In-store,7,15
373,In-store,5,7
373,In-store,5,11
373,In-store,8,15
374,Online,10,12
374,In-store,8,12
374,In-store,9,12
375,In-store,6,13
376,In-store,8,14
376,In-store,6,12
377,In-store,9,15
377,In-store,7,15
378,Online,12,16
379,In-store,5,12
380,Online,14,22
380,In-store,8,12
381,In-store,6,14
382,Online,9,12
382,In-store,7,12
383,Online,10,13
384,Online,12,15
384,In-store,9,12
384,In-store,7,13
384,Online,11,13
385,In-store,6,14
386,Online,12,14
386,Online,15,22
386,In-store,10,16
387,In-store,9,12
387,Online,12,19
387,In-store,9,17
387,Online,8,10
387,Online,14,21
387,In-store,5,13
387,Online,14,20
388,Online,8,16
388,In-store,9,17
388,Online,12,14
388,In-store,6,11
389,In-store,7,9
390,In-store,6,12
391,In-store,5,13
392,In-store,6,11
392,Online,11,18
392,In-store,10,15
392,Online,13,18
392,In-store,10,13
392,In-store,6,14
392,Online,13,17
392,In-store,5,11
393,In-store,5,11
393,In-store,9,13
394,In-store,7,10
394,In-store,10,15
394,Online,9,11
394,In-store,10,14
394,In-store,6,9
394,Online,13,20
394,In-store,6,13
394,In-store,9,13
394,Online,12,17
394,In-store,10,14
394,Online,14,17
394,Online,8,10
395,In-store,6,13
396,In-store,9,12
397,In-store,5,7
397,In-store,9,16
397,Online,8,11
398,In-store,10,14
399,In-store,8,14
399,Online,11,17
399,In-store,8,11
399,In-store,7,15
400,In-store,6,11
400,Online,13,19
401,Online,9,14
402,Online,14,22
402,In-store,7,10
403,In-store,9,12
403,In-store,5,8
403,In-store,10,15
404,Online,15,21
405,In-store,6,8
406,Online,11,19
406,In-store,5,12
406,In-store,6,14
407,Online,9,11
407,In-store,5,8
407,Online,13,19
408,Online,9,17
408,Online,14,21
409,In-store,8,13
410,In-store,7,13
410,Online,13,15
410,Online,15,19
411,In-store,8,16
411,Online,13,15
412,Online,9,12
412,In-store,6,8
413,Online,10,12
414,In-store,7,14
414,In-store,5,7
414,In-store,10,17
415,Online,9,15
416,In-store,10,15
417,In-store,6,11
418,In-store,10,16
418,In-store,8,12
419,In-store,6,12
419,Online,12,19
419,In-store,8,11
419,Online,8,16
420,In-store,10,14
420,In-store,6,11
421,In-store,8,14
421,Online,13,15
421,In-store,10,13
422,In-store,7,15
422,Online,9,13
422,In-store,9,14
423,In-store,6,10
423,In-store,5,7
424,In-store,9,12
425,Online,12,19
426,Online,10,16
426,Online,9,11
426,In-store,5,7
427,Online,12,17
428,In-store,7,14
428,In-store,8,12
429,Online,14,17
430,In-store,8,15
430,In-store,6,11
431,In-store,6,9
431,Online,11,18
431,Online,11,19
431,Online,8,14
432,In-store,7,10
432,Online,12,15
432,In-store,6,9
433,In-store,10,17
434,In-store,8,10
434,In-store,6,10
434,In-store,8,14
435,In-store,9,16
435,In-store,5,13
435,In-store,6,10
436,Online,9,11
436,Online,14,19
436,In-store,10,14
436,In-store,8,11
437,In-store,6,8
438,Online,8,15
439,In-store,7,14
439,Online,9,13
439,Online,13,19
440,In-store,8,13
440,Online,10,18
440,In-store,7,15
440,Online,13,18
440,In-store,6,14
440,Online,13,21
440,In-store,9,14
440,In-store,6,11
440,Online,12,18
440,Online,14,19
440,In-store,10,17
440,In-store,9,11
440,In-store,7,13
440,In-store,9,17
441,In-store,6,9
441,Online,15,23
442,In-store,9,12
443,In-store,9,11
443,In-store,8,10
443,In-store,5,10
443,Online,10,17
443,In-store,6,12
443,In-store,10,14
443,In-store,6,9
443,In-store,5,9
443,Online,13,17
443,In-store,6,13
443,In-store,9,12
443,Online,12,17
443,In-store,8,11
443,In-store,10,16
444,In-store,10,15
445,In-store,10,14
446,Online,9,14
446,In-store,10,16
446,Online,12,20
447,In-store,10,12
448,Online,13,18
448,In-store,7,13
448,Online,15,19
449,Online,11,19
450,Online,9,15
451,Online,13,21
451,In-store,6,10
451,In-store,5,10
452,In-store,8,12
452,In-store,8,10
452,Online,15,17
453,Online,13,17
453,Online,15,19
453,Online,12,19
453,In-store,10,12
454,Online,13,16
455,In-store,9,13
456,Online,15,20
457,In-store,5,13
457,In-store,10,16
457,Online,8,16
458,In-store,5,9
458,In-store,7,15
458,In-store,7,12
459,In-store,8,11
460,In-store,9,17
460,In-store,5,13
461,In-store,10,15
461,Online,8,10
462,In-store,10,15
463,In-store,9,13
463,In-store,10,17
464,In-store,8,10
464,In-store,6,14
465,In-store,8,12
466,In-store,5,8
466,In-store,6,12
467,Online,10,16
468,In-store,6,10
468,In-store,9,13
469,In-store,8,14
469,In-store,5,12
470,In-store,6,14
471,Online,8,14
472,In-store,6,12
472,In-store,10,12
473,Online,10,16
473,In-store,6,10
473,Online,15,22
474,Online,15,17
474,Online,11,14
475,In-store,6,14
475,In-store,9,12
476,In-store,7,12
476,In-store,5,12
476,In-store,9,14
477,In-store,10,13
477,Online,13,21
478,In-store,8,11
478,Online,15,23
479,In-store,5,10
479,In-store,7,9
480,In-store,10,12
481,Online,14,20
481,In-store,6,13
482,In-store,8,10
482,In-store,5,7
482,In-store,8,10
483,In-store,6,13
483,In-store,10,12
483,In-store,5,8
483,Online,12,20
484,In-store,7,14
484,Online,15,21
485,In-store,8,13
486,Online,13,17
487,Online,14,20
487,Online,9,11
487,In-store,8,16
488,In-store,7,14
489,Online,15,18
490,In-store,6,10
490,In-store,7,14
490,In-store,7,14
491,In-store,6,8
491,Online,9,14
491,In-store,7,15
491,In-store,6,10
492,In-store,5,8
492,In-store,9,16
492,In-store,9,13
493,In-store,10,15
494,In-store,10,15
494,Online,8,13
494,In-store,6,14
494,Online,11,14
495,In-store,10,16
495,In-store,6,11
496,In-store,5,8
496,Online,11,15
497,In-store,6,8
498,Online,12,15
499,Online,9,13
499,Online,8,11
499,In-store,9,11
499,In-store,5,7
500,In-store,10,13
501,In-store,10,12
501,In-store,6,8
501,In-store,10,15
502,In-store,10,15
503,Online,11,14
503,In-store,6,11
504,Online,14,16
505,In-store,10,16
505,In-store,7,15
506,Online,12,17
507,In-store,8,11
508,Online,14,22
508,In-store,9,15
508,In-store,7,10
509,In-store,6,10
510,Online,13,21
510,In-store,6,13
510,In-store,6,13
510,In-store,10,17
511,Online,11,17
512,In-store,7,11
513,Online,12,19
513,In-store,7,14
513,In-store,5,11
513,In-store,9,17
514,In-store,5,7
515,In-store,9,12
515,Online,14,21
516,Online,14,19
516,In-store,8,10
517,In-store,9,13
518,In-store,8,13
518,Online,13,20
518,Online,11,14
519,In-store,9,16
520,Online,10,17
521,In-store,5,7
522,In-store,7,12
522,Online,8,10
522,In-store,10,15
522,Online,11,13
522,In-store,9,13
522,In-store,7,12
522,In-store,8,16
522,Online,13,17
522,Online,9,15
522,In-store,7,13
522,In-store,5,12
523,Online,8,13
524,Online,11,18
524,Online,14,22
525,In-store,9,17
526,In-store,5,10
526,In-store,9,12
527,Online,15,23
527,In-store,8,14
528,In-store,7,12
529,In-store,5,11
529,In-store,6,9
529,In-store,10,13
530,In-store,7,14
530,Online,14,20
531,In-store,5,9
532,Online,11,15
532,In-store,9,17
533,In-store,8,15
533,In-store,5,11
533,Online,13,16
534,In-store,5,12
534,In-store,5,8
535,Online,11,18
536,In-store,5,12
536,Online,9,16
537,Online,8,10
537,In-store,7,12
537,In-store,8,12
538,In-store,5,11
539,Online,12,15
539,Online,15,22
539,In-store,7,10
540,In-store,5,13
541,In-store,8,10
542,Online,13,18
542,In-store,10,13
543,Online,8,11
543,In-store,8,10
543,In-store,9,16
544,In-store,8,11
544,In-store,5,9
545,In-store,7,14
545,In-store,8,16
545,In-store,6,13
545,Online,10,15
546,Online,15,20
547,In-store,10,12
548,In-store,9,14
549,In-store,7,11
549,In-store,6,12
550,Online,8,13
550,In-store,8,16
551,In-store,9,17
551,In-store,7,9
551,In-store,10,15
551,Online,15,20
552,In-store,6,14
552,Online,13,19
552,In-store,5,9
553,In-store,8,11
554,In-store,7,9
554,Online,8,12
555,Online,14,18
555,In-store,9,11
556,Online,15,23
556,In-store,5,7
557,In-store,6,13
557,In-store,9,17
558,Online,8,15
559,In-store,5,11
560,In-store,7,14
560,Online,8,11
561,Online,12,16
562,Online,11,17
563,Online,12,17
563,In-store,6,12
564,Online,10,13
564,In-store,5,8
564,In-store,9,17
565,In-store,9,13
566,Online,10,16
567,In-store,7,9
567,In-store,6,11
567,Online,11,15
567,In-store,8,10
567,Online,13,16
567,Online,11,14
567,In-store,10,14
567,In-store,10,17
567,In-store,10,16
567,In-store,6,9
568,In-store,6,11
569,In-store,9,17
569,In-store,7,11
569,In-store,7,14
570,In-store,5,7
570,In-store,7,14
571,In-store,9,15
572,In-store,8,10
573,In-store,8,13
573,In-store,6,11
574,In-store,10,16
575,In-store,9,12
575,In-store,8,14
575,Online,14,17
575,Online,9,15
576,Online,9,13
576,In-store,9,11
576,Online,12,16
577,In-store,8,14
577,In-store,10,18
578,In-store,8,15
578,In-store,9,17
578,Online,13,19
578,Online,15,19
578,In-store,10,14
579,Online,8,14
580,Online,9,13
580,Online,12,18
581,Online,13,15
582,In-store,10,13
583,In-store,9,15
584,In-store,6,9
584,In-store,6,12
585,In-store,9,16
585,In-store,9,15
586,In-store,5,13
586,Online,9,12
587,Online,8,13
587,In-store,10,18
588,Online,13,15
589,In-store,10,17
589,Online,10,14
589,Online,15,18
590,In-store,9,17
591,In-store,9,15
591,Online,13,16
591,In-store,10,14
592,Online,8,10
592,Online,8,14
592,Online,14,18
593,Online,8,10
593,Online,13,19
594,In-store,7,15
595,In-store,6,11
595,In-store,6,13
596,Online,13,20
596,Online,14,19
597,In-store,7,13
597,In-store,9,16
597,In-store,7,12
598,In-store,6,10
599,Online,8,10
600,In-store,5,10
600,Online,14,19
600,In-store,9,14
600,In-store,10,13
601,In-store,9,14
601,Online,9,12
601,In-store,8,16
602,Online,13,19
603,Online,11,19
604,In-store,8,12
604,Online,9,16
605,In-store,9,16
605,Online,11,18
606,In-store,9,12
607,In-store,10,14
607,Online,10,16
607,Online,14,19
608,In-store,5,9
608,In-store,8,10
608,In-store,5,10
608,In-store,5,13
609,In-store,7,10
610,In-store,7,9
610,Online,8,15
611,In-store,5,13
611,In-store,6,14
611,In-store,5,10
611,In-store,8,11
612,In-store,9,17
612,Online,9,15
612,Online,10,12
612,Online,9,12
613,In-store,6,9
614,Online,12,14
615,In-store,8,13
615,In-store,8,14
616,In-store,7,9
616,Online,14,16
617,Online,15,21
617,In-store,6,12
618,In-store,7,9
618,In-store,9,11
619,Online,10,12
620,In-store,10,17
620,Online,9,12
620,Online,13,17
620,Online,11,17
621,In-store,9,11
621,In-store,5,9
621,In-store,5,10
621,Online,14,16
622,In-store,8,15
622,In-store,8,14
623,Online,13,18
623,In-store,5,9
624,In-store,5,12
624,Online,10,15
625,In-store,10,18
625,In-store,9,14
626,In-store,6,11
626,In-store,6,10
627,In-store,8,13
627,Online,14,20
628,In-store,5,7
628,Online,14,21
628,In-store,7,14
628,In-store,9,14
629,In-store,10,18
629,In-store,9,13
629,In-store,9,17
629,In-store,8,14
630,In-store,8,11
631,In-store,10,14
632,In-store,10,12
633,In-store,5,8
633,In-store,6,14
633,Online,9,14
634,Online,12,19
635,In-store,9,13
635,Online,9,17
635,In-store,10,13
635,In-store,7,15
635,In-store,5,7
635,In-store,7,13
635,In-store,10,12
635,Online,15,17
635,In-store,10,17
635,In-store,8,16
636,In-store,5,7
637,Online,14,17
637,Online,9,13
638,Online,13,15
639,In-store,10,13
640,In-store,8,12
640,Online,13,15
640,In-store,5,7
641,In-store,5,7
641,In-store,10,18
641,In-store,8,13
